Format Version,1.23,Take Name,Right_reflector_data,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2019-07-23 04.02.22.777 PM,Total Frames in Take,1346,Total Exported Frames,1346,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,SAR,SAR,SAR,SAR,SAR,SAR,SAR,Radar,Radar,Radar,Radar,Radar,Radar,Radar,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Right Reflector,Radar:Marker1,Radar:Marker1,Radar:Marker1,Radar:Marker2,Radar:Marker2,Radar:Marker2,Radar:Marker3,Radar:Marker3,Radar:Marker3,Right Reflector:Marker1,Right Reflector:Marker1,Right Reflector:Marker1,Right Reflector:Marker2,Right Reflector:Marker2,Right Reflector:Marker2,Right Reflector:Marker3,Right Reflector:Marker3,Right Reflector:Marker3
,ID,"28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","28F40D84AD7A11E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","8C2FC817AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","A4650E44AD8411E97C158CA05683C95","CB540","CB540","CB540","CB600","CB600","CB600","CD6A0","CD6A0","CD6A0","CD560","CD560","CD560","CD590","CD590","CD590","CD5B0","CD5B0","CD5B0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,-0.001193,0.000029,-0.039630,-0.999214,-5.014210,1.781780,-0.503299,0.194825,0.018065,-0.505908,0.840104,-0.998240,0.302199,-0.111761,-5.000971,1.781319,-0.419010,-5.005430,1.780283,-0.582518,-5.035182,1.783637,-0.509268,-0.916972,0.309612,-0.322728,-0.978973,0.301923,-0.158162,-1.097836,0.292426,0.145089
1,0.002778,,,,,,,,-0.001418,-0.000106,-0.039919,-0.999202,-5.014198,1.781740,-0.503288,0.238297,0.021775,-0.618205,0.748707,-0.998205,0.302286,-0.111787,-5.000947,1.781196,-0.419010,-5.005435,1.780219,-0.582515,-5.035166,1.783626,-0.509227,-0.917251,0.309278,-0.322987,-0.979384,0.302535,-0.158349,-1.097800,0.292440,0.145076
2,0.005556,,,,,,,,0.000919,0.000071,-0.044490,-0.999009,-5.014225,1.781996,-0.503238,0.220798,0.019790,-0.573766,0.788447,-0.998181,0.302242,-0.111798,-5.000649,1.782755,-0.417884,-5.005429,1.780234,-0.582551,-5.035190,1.783680,-0.509311,-0.917204,0.309490,-0.323031,-0.979856,0.301992,-0.157780,-1.097270,0.293759,0.143756
3,0.008333,,,,,,,,-0.001664,-0.000415,-0.068680,-0.997637,-5.014218,1.781201,-0.503136,-0.184069,-0.015577,0.475008,0.860374,-0.998147,0.302086,-0.111839,-5.000848,1.781492,-0.418636,-5.005425,1.780262,-0.582546,-5.035058,1.779838,-0.508839,-0.915896,0.306293,-0.321976,-0.979428,0.304615,-0.157977,-1.097822,0.292505,0.145029
4,0.011111,,,,,,,,-0.000609,-0.000364,-0.073329,-0.997308,-5.014032,1.781005,-0.503159,0.237173,0.021151,-0.616556,0.750440,-0.998086,0.301992,-0.111658,-5.000860,1.781477,-0.418642,-5.005428,1.780258,-0.582561,-5.034784,1.779575,-0.508475,-0.917235,0.309391,-0.322904,-0.978974,0.301873,-0.158320,-1.096562,0.293172,0.143318
5,0.013889,,,,,,,,-0.000378,-0.001154,-0.073652,-0.997283,-5.013922,1.781060,-0.503126,0.233864,0.021407,-0.608028,0.758387,-0.998174,0.302160,-0.111803,-5.000803,1.781527,-0.418647,-5.005424,1.780245,-0.582556,-5.034749,1.779598,-0.508480,-0.917427,0.308951,-0.323308,-0.979748,0.303216,-0.159198,-1.096749,0.293216,0.145907
